0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:50 +0700] "GET /CrmWeb/home HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:50 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:51 +0700] "GET /CrmWeb/user HTTP/1.1" 200 8858
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:51 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/user/edit?id=1 HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/css/colors/blue.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/css/animate.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:07:55 +0700] "GET /CrmWeb/assets/plugins/images/favicon.png HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:03 +0700] "GET /CrmWeb/user HTTP/1.1" 200 8858
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:03 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/user/delete?id=1 HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/css/animate.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/css/colors/blue.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:13 +0700] "GET /CrmWeb/assets/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:14 +0700] "GET /CrmWeb/assets/plugins/images/favicon.png HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:16 +0700] "GET /CrmWeb/user HTTP/1.1" 200 8858
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:16 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/role HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/static/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/css/animate.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/css/style.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/css/colors/blue.css HTTP/1.1" 200 5568
0:0:0:0:0:0:0:1 - - [22/Feb/2021:19:08:21 +0700] "GET /CrmWeb/assets/plugins/bower_components/jquery/dist/jquery.min.js HTTP/1.1" 200 5568
